ID,Title,Play,Year,Directors,Medium,Country,Faithful?,IMDb Rating, BoxOffice , Budget ,URL,New Time Period?,Reviewers
396,Richard III,Richard III,1995,Richard Loncraine,Film,UK,Yes,7.3,2700000," $ 7,528,794.00 ",https://www.imdb.com/title/tt0114279/,Yes,15000
397,Looking for Richard,Richard III,1996,Al Pacino,Film,US,No,7.3,,,https://www.imdb.com/title/tt0116913/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_looking%2520for%2520richard,Yes,8500
398,Richard III,Richard III,2008,Scott M. Anderson,Film,US,Yes,6.8,,,https://www.imdb.com/title/tt0483789/,Yes,187
399,"Richard III
(The Hollow Crown)",Richard III,2016,Dominic Cooke,TV,UK,Yes,8.5,,,https://www.imdb.com/title/tt3974598/,No,652
400,"Pericles, Prince of Tyre
(BBC Television Shakespeare)",Pericles,1984,David Jones,TV,UK,Yes,6.9,,,https://www.imdb.com/title/tt0086096/?ref_=nv_sr_srsg_5_tt_4_nm_4_q_pericles,No,114
401,Cymbeline,Cymbeline,1913,Lucius Henderson,Silent,US,Yes,5,,,https://www.imdb.com/title/tt0002784/?ref_=nv_sr_srsg_0_tt_1_nm_0_q_cymbeline%25201913,No,50
402,"Cymbeline
(BBC Television Shakespeare)",Cymbeline,1982,Elijah Moshinsky,TV,UK,Yes,7,,,https://www.imdb.com/title/tt0083779/?ref_=nv_sr_srsg_0_tt_1_nm_0_q_cymbeline%25201982,No,196
403,Cymbeline,Cymbeline,2014,Michael Almereyda,Film,US,Yes,3.7,," $ 3,200,000.00 ",https://www.imdb.com/title/tt3093522/?ref_=nv_sr_srsg_0_tt_7_nm_1_q_cymbeline,Yes,4200
404,The Winter's Tale,The Winter's Tale,1910,(unknown),Silent,US,Yes,5,,,https://www.imdb.com/title/tt0131137/?ref_=nv_sr_srsg_1_tt_3_nm_0_q_the%2520winters%2520tale%25201910,No,52
405,"The Winter's Tale
(BBC Television Shakespeare)",The Winter's Tale,1981,Jane Howell,TV,UK,Yes,7.2,,,https://www.imdb.com/title/tt0081761/?ref_=nv_sr_srsg_0_tt_3_nm_0_q_The%2520winters%2520tale%25201981,No,160
406,"The Winter's Tale
(Shakespeare: The Animated Tales)",The Winter's Tale,1994,Stanislav Sokolov,TV,Russia,Yes,7.7,,,https://www.imdb.com/title/tt0774080/?ref_=ttep_ep5,No,55
407,The Winter's Tale,The Winter's Tale,1999,"Gregory Doran (stage)
Robin Lough (TV)",Video,UK,Yes,7.8,,,https://www.imdb.com/title/tt0759947/?ref_=fn_al_tt_2,No,60
408,The Tempest,The Tempest,1911,Edwin Thanhouser,Silent,US,Yes,,,,https://www.imdb.com/title/tt0125542/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_the%2520tempest%25201911,No,0
409,Yellow Sky,The Tempest,1948,William A. Wellman,Film,US,No,7.4,2800000,,https://www.imdb.com/title/tt0040978/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_yellow%2520sky,Yes,5600
410,Forbidden Planet,The Tempest,1956,Fred M. Wilcox,Film,US,No,7.5,2765000," $ 1,968,000.00 ",https://www.imdb.com/title/tt0049223/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_forbidden%2520plan,Yes,52000
411,"The Tempest
(Hallmark Hall of Fame)",The Tempest,1960,George Schaefer,TV,US,Yes,7,,,https://www.imdb.com/title/tt0057564/,No,185
412,"Planet of Evil
(Doctor Who)",The Tempest,1975,David Maloney,TV,UK,No,7.5,,,https://www.imdb.com/title/tt0562865/,Yes,561
413,The Tempest,The Tempest,1979,Derek Jarman,Film,UK,Yes,6.4,," $ 350,000.00 ",https://www.imdb.com/title/tt0081613/,No,1200
414,"The Tempest
(BBC Television Shakespeare)",The Tempest,1980,John Gorrie,TV,UK,Yes,6.8,,,https://www.imdb.com/title/tt0080000/,No,325
415,Tempest,The Tempest,1982,Paul Mazursky,Film,US,No,6.4,5005245," $ 13,000,000.00 ",https://www.imdb.com/title/tt0084776/,,2600
416,"The Tempest
(The Shakespeare Collection)",The Tempest,1983,William Woodman,TV,US,Yes,6,,,https://www.imdb.com/title/tt0090143/,No,50
417,"The Journey to Melonia
(Swedish: Resan till Melonia)",The Tempest,1989,Per Åhlin,Film,Sweden,No,7.3,16532.01," $ 2,101,863.97 ",https://www.imdb.com/title/tt0098189/,No,1400
418,Prospero's Books,The Tempest,1991,Peter Greenaway,Film,UK,No,6.8,1750301," $ 1,882,198.50 ",https://www.imdb.com/title/tt0102722/,No,6600
419,"The Tempest
(Shakespeare: The Animated Tales)",The Tempest,1992,Stanislav Sokolov,TV,Russia,Yes,7.8,,,https://www.imdb.com/title/tt0105557/,No,92
420,The Tempest,The Tempest,1998,Jack Bender,TV,US,No,4.9,,,https://www.imdb.com/title/tt0178928/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_the%2520tempest%25201998,Yes,380
421,The Tempest,The Tempest,2010,Julie Taymor,Film,US,Yes,5.3,346594," $ 20,000,000.00 ",https://www.imdb.com/title/tt1274300/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_the%2520tempest%25202010,No,8100
422,The Tempest,The Tempest,2010,Des McAnuff,Video,Canada,Yes,7.9,73126,,https://www.imdb.com/title/tt1683003/,No,148
423,The Tempest,The Tempest,2014,Jeremy Herrin,Video,UK,Yes,8.2,,,https://www.imdb.com/title/tt3840898/,No,332
424,Shakespeare's Shitstorm,The Tempest,2020,Lloyd Kaufman,Film,US,No,6.7,,,https://pro.imdb.com/title/tt7290030/?ref_=instant_tt_1&q=Shakespeare%27s%20Sh*tstorm,Yes,244
